Product Name,Price,Rating,Ratings Count,Reviews Count,Features,Price_Clean,Ratings_Count_Clean,Reviews_Count_Clean,Brand,Processor,RAM_GB,Storage_GB
Lenovo Ideapad Flex 5 Intel Core I3 13Th Gen 1315U - (8 Gb/512 Gb Ssd/Windows 11 Home) 14Iru8 2 In 1 L...,"₹55,999",4.3,231,18,Intel Core i3 Processor (13th Gen) | 8 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,55999.0,231,18,Lenovo,Intel Core i3,8.0,8.0
Hp 240R G9 (2025) Intel Core I5 13Th Gen 1334U - (32 Gb/512 Gb Ssd/Windows 11 Home) 240R G9 Thin And L...,"₹62,990",4.3,0,0,"Intel Core i5 Processor (13th Gen) | 32 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office 2021, Windows 11 Home | 1 Year Onsite Warranty",62990.0,0,0,Hp,Intel Core i5,32.0,32.0
Acer Swift X Intel Core I5 11Th Gen 11320H - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics) Sfx16-51...,"₹60,990",4.3,0,0,"Intel Core i5 Processor (11th Gen) | 16 GB LPDDR4X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 40.89 cm (16.1 Inch) Display | Acer Care Center, Quick Access, Acer Product Registration, Acer Configuration Manager | 1 Year International Travelers Warranty (ITW)",60990.0,0,0,Acer,Intel Core i5,16.0,16.0
Lenovo Yoga Pro 9 3.2K Ips Ai Pc Intel Core Ultra 9 185H - (32 Gb/1 Tb Ssd/Windows 11 Home/6 Gb Graphi...,"₹1,64,990",4.3,0,0,Intel Core Ultra 9 Processor | 32 GB LPDDR5X RAM | Windows 11 Home Operating System | 1 TB SSD | 40.64 cm (16 Inch) Touchscreen Display | Office Home & Student 2021 | 1 Year Carry-in Warranty,164990.0,0,0,Lenovo,Other,32.0,32.0
Msi Modern 14 Amd Ryzen 5 Hexa Core 7430U - (16 Gb/512 Gb Ssd/Windows 11 Home) 14 C7M-283In / 14 C7M-4...,"₹35,990",4.3,221,16,AMD Ryzen 5 Hexa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home & Student 2021 included | 1 Year Carry-in Warranty,35990.0,221,16,Msi,AMD Ryzen,16.0,16.0
Hp G9 Series Amd Athlon Dual Core 3050U - (4 Gb/256 Gb Ssd/Windows 11 Home) 255 Thin And Light Laptop,"₹28,990",4.1,88,6,AMD Athlon Dual Core Processor | 4 GB DDR4 RAM | Windows 11 Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,28990.0,88,6,Hp,Other,4.0,4.0
Hp 255 G10 Amd Ryzen 5 Quad Core 7520U Upto 4.3Ghz - (8 Gb/512 Gb Ssd/Windows 11 Home) 255 G10 Thin An...,"₹39,390",3.8,151,8,AMD Ryzen 5 Quad Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 YEAR BRAND WARRANTY,39390.0,151,8,Hp,AMD Ryzen,8.0,8.0
Dell Inspiron 5440 Intel Core I3 (14Th Gen) Intel Core 3 100U - (16 Gb/512 Gb Ssd/Windows 11 Home) 544...,"₹44,750",3.3,19,1,Intel Core i3 Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Windows 11 Home Microsoft Office 2021 | 1 Year Onsite Warranty,44750.0,19,1,Dell,Intel Core i3,16.0,16.0
Asus Rog Zephyrus G16 Ai Pc Intel Core Ultra 7 155H - (16 Gb/1 Tb Ssd/Windows 11 Home/8 Gb Graphics/Nv...,"₹1,74,990",4.0,7,2,Intel Core Ultra 7 Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 1 TB SSD | 40.64 cm (16 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty,174990.0,7,2,Asus,Other,16.0,16.0
"Asus Vivobook S14 Oled Intel Evo H-Series Backlit Keyboard, Intel Core I5 12Th Gen 12500H - (16 Gb/512...","₹63,999",4.4,"4,744",445,Intel Core i5 Processor (12th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,63999.0,4744,445,Asus,Intel Core i5,16.0,16.0
